iter	Logloss
565	0.3842711569
566	0.3842388363
567	0.3842048606
568	0.3841765585
569	0.3841092468
570	0.3840497039
571	0.3840107074
572	0.3839612384
573	0.3839402498
574	0.3839060285
575	0.3838551454
576	0.3838024615
577	0.3837705771
578	0.3836215121
579	0.3835942797
580	0.3835755505
581	0.3835324542
582	0.3834906814
583	0.3834638271
584	0.3834211162
585	0.3833491946
586	0.3833023397
587	0.3832305787
588	0.3831467543
589	0.3831033067
590	0.3830671473
591	0.3830320445
592	0.3829809527
593	0.3829294401
594	0.3828481446
595	0.382797545
596	0.3827311794
597	0.3826882662
598	0.3826399326
599	0.3825991512
600	0.3825640522
601	0.3825188776
602	0.3824693025
603	0.3824135776
604	0.3823900274
605	0.3823517483
606	0.3823046552
607	0.3822470552
608	0.3821720159
609	0.3821156241
610	0.3818563463
611	0.381799778
612	0.3817277426
613	0.3816999057
614	0.3816652715
615	0.3816095294
616	0.3815672814
617	0.3815275256
618	0.3814849915
619	0.3814269575
620	0.3813872029
621	0.3813226276
622	0.3813099654
623	0.3812667793
624	0.3812428708
625	0.3811706149
626	0.3811419142
627	0.3811183167
628	0.3810661906
629	0.381031372
630	0.3809940844
631	0.380946575
632	0.3809113508
633	0.3808839109
634	0.3807712764
635	0.3807123093
636	0.3806706228
637	0.3806306642
638	0.3805814899
639	0.380522134
640	0.3804922218
641	0.3804514129
642	0.3804159591
643	0.3803063719
644	0.3802591281
645	0.3802049131
646	0.3801491444
647	0.3800876311
648	0.3800319545
649	0.3800036048
650	0.3799616513
651	0.3799305548
652	0.3798772908
653	0.3797878039
654	0.3797506837
655	0.3796899949
656	0.3796450518
657	0.3795860154
658	0.3795408748
659	0.379481394
660	0.379428828
661	0.3793495203
662	0.3792955453
663	0.3792396195
664	0.3791871982
665	0.379152126
666	0.3791131487
667	0.379058134
668	0.3789817978
669	0.3789537389
670	0.3789123737
671	0.3788815823
672	0.3788324908
673	0.3787721635
674	0.3787564336
675	0.3787197998
676	0.3786852347
677	0.3786461058
678	0.3786064763
679	0.3785649895
680	0.3785202287
681	0.3784814956
682	0.3784570644
683	0.3784287617
684	0.3783602382
685	0.3782974483
686	0.3782464127
687	0.3782027433
688	0.3781479273
689	0.3780928425
690	0.3780681792
691	0.3780111268
692	0.3779669691
693	0.3779305129
694	0.3779082588
695	0.3777918704
696	0.3777763918
697	0.3776005421
698	0.3775649569
699	0.3775317921
700	0.3774803445
701	0.3774036265
702	0.3773726415
703	0.3773126852
704	0.3772731109
705	0.3772197677
706	0.3771754284
707	0.3771289659
708	0.3770528379
709	0.3769839665
710	0.3769473489
711	0.3769042523
712	0.3768771408
713	0.3768129776
714	0.3767687601
715	0.376754498
716	0.3767141162
717	0.3766838694
718	0.3766409154
719	0.3766051923
720	0.3765506692
721	0.3764227074
722	0.3764025261
723	0.3763481138
724	0.376291596
725	0.3762676699
726	0.3762295558
727	0.3761888514
728	0.3761548797
729	0.3761284
730	0.3760977387
731	0.3759422
732	0.375920663
733	0.3758996297
734	0.3758442534
735	0.3758004428
736	0.3757587458
737	0.3757355894
738	0.3756938791
739	0.3756624504
740	0.3756055027
741	0.375561883
742	0.3755159691
743	0.3754685532
744	0.3754442452
745	0.3754185809
746	0.3753727534
747	0.3753376662
748	0.3752860115
749	0.3752637136
750	0.3752445006
751	0.3751919444
752	0.3751590275
753	0.3751241504
754	0.3749799149
755	0.3749432622
756	0.3749061751
757	0.3748666792
758	0.3748084348
759	0.3747602748
760	0.374745856
761	0.3746759851
762	0.3746122087
763	0.3745848239
764	0.3745561381
765	0.3745098437
766	0.3744961358
767	0.3744678894
768	0.3744308155
769	0.3743527436
770	0.3743362232
771	0.3743050012
772	0.3742778361
773	0.3742323815
774	0.3741886329
775	0.3741430607
776	0.3741118451
777	0.3740644778
778	0.3740474519
779	0.3739629283
780	0.3739369122
781	0.3738914502
782	0.3738397622
783	0.3737852322
784	0.3737194874
785	0.3736455119
786	0.3735971923
787	0.3734329124
788	0.3733935036
789	0.3733527489
790	0.3733076966
791	0.3732543096
792	0.3731976186
793	0.3731469203
794	0.3731108496
795	0.3730521048
796	0.3730330443
797	0.3729947764
798	0.3729504796
799	0.3728125141
800	0.3727868573
801	0.3727279069
802	0.3726909139
803	0.3726621185
804	0.3726194969
805	0.3725900176
806	0.3725123287
807	0.3724324179
808	0.3724141872
809	0.3724035417
810	0.3723522663
811	0.3722883157
812	0.3722403676
813	0.372202653
814	0.3721296129
815	0.372097364
816	0.372040001
817	0.3719962488
818	0.3719612761
819	0.3719257783
820	0.3718905835
821	0.3718390638
822	0.3718022706
823	0.3717846914
824	0.3717263866
825	0.371666627
826	0.3716267022
827	0.3715831612
828	0.3715338682
829	0.3714959879
830	0.3714273288
831	0.3713754101
832	0.3713444914
833	0.3712925448
834	0.3712381463
835	0.37119558
836	0.3711603281
837	0.371131903
838	0.3710919409
839	0.371062416
840	0.3710392056
841	0.3710245232
842	0.3709951441
843	0.3709423066
844	0.3709131715
845	0.3707655659
846	0.3707246461
847	0.3706879412
848	0.370625538
849	0.3706017123
850	0.3704944474
851	0.3704337052
852	0.3704093791
853	0.3703747882
854	0.3702628969
855	0.3702177243
856	0.3701708032
857	0.3701204484
858	0.3700645865
859	0.3700201614
860	0.3699668799
861	0.3699178981
862	0.3698802442
863	0.3698313145
864	0.3697869161
865	0.3697450682
866	0.3696839382
867	0.3696330845
868	0.3695845681
869	0.3695343609
870	0.3694940994
871	0.369430973
872	0.3694124001
873	0.3693662317
874	0.3693175792
875	0.3692792974
876	0.3692425445
877	0.3692016854
878	0.3691380275
879	0.3690990511
880	0.3690039369
881	0.368945007
882	0.3689241382
883	0.3688933412
884	0.3688525525
885	0.3687897802
886	0.3686613404
887	0.3686031019
888	0.3685604935
889	0.3685164984
890	0.3684857824
891	0.3684349341
892	0.3683773814
893	0.3683289449
894	0.3682891257
895	0.3682687651
896	0.3682471784
897	0.3682259692
898	0.3681985523
899	0.3681456101
900	0.3681110835
901	0.3680545216
902	0.3680191191
903	0.3679925588
904	0.3679540721
905	0.3679012056
906	0.3678657014
907	0.3678020417
908	0.3676875575
909	0.3676284301
910	0.3675675647
911	0.3675168454
912	0.3674925128
913	0.3674481561
914	0.3673847489
915	0.3673270976
916	0.3673139805
917	0.3672821652
918	0.367255672
919	0.367217765
920	0.3671755256
921	0.3671291895
922	0.367054848
923	0.3670199806
924	0.3669794553
925	0.3669275232
926	0.3668853991
927	0.3668396291
928	0.3667988929
929	0.3667640775
930	0.3667254879
931	0.3666784588
932	0.3666430124
933	0.3665725294
934	0.3665329724
935	0.3664854076
936	0.3664639307
937	0.3664333107
938	0.366386148
939	0.3663427543
940	0.3662859625
941	0.3662487207
942	0.366212062
943	0.3661760098
944	0.3661182824
945	0.3660805453
946	0.3660250537
947	0.3659938455
948	0.3658397066
949	0.3657989631
950	0.3657703154
951	0.3657325787
952	0.3656860199
953	0.3656551036
954	0.3655797112
955	0.3655406835
956	0.3655020475
957	0.3654505901
958	0.3654316912
959	0.3654076243
960	0.3653660026
961	0.3653075519
962	0.36523224
963	0.3651990628
964	0.365155667
965	0.365107647
966	0.3650318124
967	0.3649774341
968	0.364926359
969	0.3648826707
970	0.3648439944
971	0.3648185716
972	0.3647684899
973	0.3647248729
974	0.3646919738
975	0.3646529994
976	0.3646294265
977	0.3645872385
978	0.3645561667
979	0.3644826913
980	0.3644288738
981	0.3643868583
982	0.36435191
983	0.3643331876
984	0.3642864554
985	0.3642309163
986	0.3641343392
987	0.3641081527
988	0.3640533558
989	0.3639889675
990	0.3639526386
991	0.3639226576
992	0.3638768674
993	0.3638073965
994	0.3637093293
995	0.3636592116
996	0.3636300156
997	0.3635989143
998	0.3635875532
999	0.3635715954
