iter	Passed	Remaining
236	107131	344900
237	107552	344347
238	108002	343889
239	108453	343435
240	108917	343022
241	109278	342285
242	109683	341687
243	110249	341591
244	110710	341169
245	111165	340726
246	111529	340007
247	111920	339371
248	112358	338881
249	112804	338413
250	113227	337878
251	113598	337188
252	114011	336626
253	114432	336089
254	114885	335645
255	115395	335369
256	115854	334942
257	116281	334422
258	116749	334021
259	117186	333530
260	117702	333265
261	118195	332932
262	118481	332019
263	118912	331513
264	119345	331015
265	119802	330583
266	120229	330069
267	120743	329792
268	121240	329466
269	121821	329368
270	122273	328921
271	122769	328589
272	123301	328352
273	123703	327769
274	124337	327799
275	124739	327216
276	125337	327143
277	125920	327031
278	126483	326861
279	126903	326323
280	127396	325970
281	127865	325558
282	128337	325151
283	128804	324732
284	129241	324236
285	129721	323850
286	130140	323311
287	130555	322762
288	131084	322494
289	131686	322405
290	132186	322061
291	132658	321652
292	133247	321521
293	133706	321078
294	134242	320816
295	134847	320719
296	135416	320530
297	136011	320402
298	136559	320161
299	137178	320084
300	137615	319579
301	138225	319475
302	138729	319122
303	139159	318603
304	139631	318176
305	140218	318012
306	140643	317479
307	141215	317276
308	141988	317521
309	142459	317087
310	143043	316902
311	143558	316564
312	143945	315944
313	144427	315532
314	144948	315204
315	145482	314905
316	146092	314767
317	146681	314580
318	147270	314391
319	147822	314122
320	148388	313881
321	148928	313582
322	149456	313257
323	150060	313088
324	150666	312923
325	151192	312587
326	151615	312040
327	152074	311566
328	152700	311435
329	153197	311036
330	153760	310773
331	154238	310334
332	154911	310288
333	155508	310084
334	156177	310023
335	156604	309480
336	157076	309025
337	157474	308425
338	157885	307854
339	158327	307340
340	158818	306924
341	159161	306223
342	159586	305679
343	160078	305265
344	160490	304699
345	160925	304176
346	161336	303610
347	161738	303027
348	162158	302478
349	162621	302011
350	163054	301488
351	163488	300966
352	163943	300485
353	164454	300105
354	164951	299700
355	165445	299289
356	165879	298768
357	166313	298248
358	166781	297790
359	167220	297280
360	167603	296672
361	167861	295845
362	168216	295190
363	168669	294708
364	169092	294174
365	169497	293610
366	169928	293091
367	170376	292603
368	170705	291910
369	171127	291378
370	171479	290729
371	171954	290289
372	172405	289808
373	172870	289350
374	173322	288870
375	173738	288331
376	174256	287962
377	174645	287379
378	175029	286789
379	175458	286274
380	175854	285705
381	176271	285171
382	176716	284684
383	177192	284245
384	177524	283578
385	177967	283088
386	178316	282449
387	178817	282051
388	179275	281586
389	179880	281350
390	180363	280924
391	180766	280372
392	181241	279932
393	181666	279415
394	182248	279139
395	182760	278756
396	183299	278411
397	184092	278451
398	184667	278158
399	185098	277648
400	185763	277486
401	186392	277271
402	186960	276961
403	187579	276725
404	188096	276339
405	188747	276147
406	189264	275759
407	189786	275376
408	190254	274915
409	190810	274580
410	191388	274277
411	191960	273962
412	192444	273522
413	192972	273144
414	193594	272898
415	194224	272661
416	194855	272423
417	195677	272450
418	196356	272275
419	196969	272004
420	197532	271665
421	198182	271444
422	198822	271206
423	199513	271036
424	200204	270864
425	200832	270605
426	201541	270453
427	202086	270078
428	202731	269836
429	203256	269432
430	204042	269373
431	204708	269153
432	205219	268728
433	205789	268379
434	206610	268355
435	207292	268149
436	207945	267902
437	208475	267496
438	209132	267250
439	209788	267003
440	210291	266559
441	210880	266224
442	211325	265706
443	212074	265570
444	212589	265139
445	213164	264782
446	213693	264367
447	214314	264066
448	214768	263558
449	215284	263125
450	215898	262811
451	216550	262544
452	217146	262205
453	217734	261856
454	218284	261461
455	218736	260949
456	219382	260666
457	219896	260227
458	220360	259727
459	220888	259303
460	221515	258995
461	222132	258673
462	222604	258183
463	223232	257872
464	223715	257393
465	224194	256909
466	224788	256557
467	225305	256116
468	225996	255872
469	226737	255683
470	227415	255420
471	227960	255006
472	228687	254795
473	229403	254570
474	230096	254317
475	230739	254007
476	231566	253898
477	232330	253716
478	232885	253305
479	233471	252926
480	234061	252553
481	234760	252293
482	235305	251869
483	235887	251483
484	236385	251007
485	236947	250598
486	237539	250221
487	238188	249902
488	238810	249554
489	239624	249404
490	240295	249104
491	240832	248664
492	241610	248471
493	242251	248135
494	242735	247638
495	243330	247255
496	243984	246930
497	244670	246635
498	245276	246259
499	246134	246134
500	246937	245951
501	247928	245953
502	248767	245800
503	249385	245427
504	250493	245533
505	251535	245570
506	252382	245413
507	253473	245490
508	255037	246018
509	255810	245778
510	256445	245405
511	257200	245144
512	257659	244600
513	258340	244267
514	258940	243856
515	259432	243343
516	260166	243057
517	260817	242691
518	261530	242381
519	262152	241987
520	262897	241704
521	263402	241200
522	264204	240966
523	264843	240583
524	265482	240198
525	266337	240007
526	267060	239695
527	267643	239257
528	268343	238922
529	269020	238565
530	269707	238216
531	270413	237882
532	270893	237349
533	271522	236946
534	272370	236733
535	272932	236269
536	273542	235847
537	274337	235583
538	275240	235409
539	275913	235037
540	276599	234674
541	277165	234209
542	277854	233848
543	278475	233427
544	279404	233264
545	280125	232924
546	280892	232621
547	281670	232326
548	282433	232017
549	283081	231612
550	283740	231214
551	284342	230770
552	285097	230449
553	285805	230089
554	286572	229774
555	287269	229402
556	287996	229053
557	288728	228705
558	289518	228403
559	290087	227925
560	290880	227623
561	291841	227449
562	292730	227216
563	293729	227067
564	294786	226959
565	295735	226765
566	296722	226597
567	297711	226428
568	298654	226221
569	299535	225965
570	300218	225558
571	300955	225190
572	301665	224801
573	302421	224445
574	303165	224078
575	303695	223553
576	304646	223337
577	305337	222928
578	306069	222547
579	306814	222175
580	307304	221618
581	308080	221267
582	308807	220879
583	309581	220524
584	310345	220159
585	310947	219679
586	311677	219289
587	312327	218841
588	313020	218423
589	313638	217951
590	314334	217534
591	315016	217105
592	315501	216541
593	316199	216122
594	316859	215677
595	317459	215190
596	318213	214807
597	318997	214443
598	319719	214035
599	320476	213650
600	321265	213285
601	322370	213128
602	323213	212795
603	324097	212487
604	324995	212186
605	325666	211736
606	326302	211263
607	327183	210947
608	328148	210682
609	329097	210406
610	330102	210163
611	330909	209792
612	331740	209434
613	332477	209016
614	333268	208631
615	334115	208279
616	334917	207898
617	335783	207555
618	336739	207266
619	337293	206728
620	337890	206216
621	338561	205749
622	339139	205225
623	339628	204648
624	340174	204104
625	340706	203553
626	341308	203043
627	341902	202527
628	342560	202051
629	343162	201539
630	343666	200971
631	344257	200453
632	345166	200119
633	346183	199847
634	346900	199399
635	347532	198902
636	347974	198296
637	348627	197810
638	349242	197303
639	349969	196858
640	350593	196354
641	351607	196067
642	352397	195654
643	353257	195278
644	354118	194902
645	355175	194631
646	355961	194210
647	356539	193675
648	357578	193389
649	358576	193079
650	359163	192546
651	359839	192061
652	360558	191598
653	361127	191055
654	361842	190588
655	362455	190068
656	363115	189571
657	363624	188996
658	364356	188536
659	364985	188023
660	365745	187576
661	366200	186972
662	366888	186487
663	367618	186023
664	368420	185595
665	369109	185109
666	369709	184577
667	370457	184119
668	371078	183597
669	371657	183055
670	372386	182586
671	373050	182084
672	373835	181640
673	374390	181084
674	375209	180656
675	375810	180121
676	376470	179615
677	377396	179235
678	377968	178686
679	378596	178162
680	379187	177622
681	379747	177066
682	380284	176500
683	380911	175976
684	381454	175413
685	382349	175011
686	383021	174506
687	383688	173998
688	384326	173476
689	385065	173000
690	385677	172466
691	386304	171939
692	386951	171419
693	387572	170889
694	388274	170393
695	388785	169814
696	389398	169279
697	390059	168765
698	390655	168222
699	391347	167720
700	392050	167222
701	392843	166762
702	393590	166282
703	394290	165781
704	395143	165343
705	395858	164847
706	396628	164373
707	397206	163819
708	397819	163279
709	398571	162796
710	399042	162198
711	399852	161738
712	400651	161272
713	401366	160771
714	402155	160299
715	402861	159794
716	403422	159231
717	404193	158749
718	405056	158304
719	405610	157737
720	406427	157272
721	407095	156748
722	407724	156209
723	408247	155630
724	408927	155110
725	409541	154565
726	410163	154022
727	410712	153452
728	411429	152945
729	412056	152404
730	412615	151838
731	413383	151348
732	414170	150864
733	415309	150507
734	416071	150012
735	416895	149538
736	417704	149058
737	418692	148641
738	419577	148186
739	420273	147663
740	421148	147203
741	422071	146757
742	422855	146263
743	423580	145748
744	424254	145214
745	425087	144734
746	425658	144165
747	426285	143614
748	426880	143053
749	427626	142542
750	428330	142016
751	428932	141456
752	429480	140878
753	430072	140315
754	431023	139868
755	431739	139344
756	432451	138818
757	433137	138284
758	433786	137737
759	434357	137165
760	435241	136692
761	435903	136148
762	436620	135621
763	437213	135055
764	438044	134562
765	438867	134066
766	439551	133527
767	440445	133051
768	441120	132508
769	441990	132023
770	442649	131474
771	443237	130904
772	443943	130369
773	444664	129837
774	445452	129324
775	446208	128802
776	446937	128271
777	447819	127783
778	448489	127235
779	449177	126691
780	449772	126120
781	450634	125624
782	451296	125071
783	452036	124540
784	452819	124020
785	453674	123519
786	454442	122993
787	455219	122470
788	456141	121984
789	456885	121450
790	457578	120902
791	458196	120334
792	458985	119810
793	459930	119326
794	460593	118769
795	461346	118234
796	461985	117669
797	462666	117116
798	463405	116576
799	464513	116128
800	465147	115560
801	465878	115017
802	466693	114494
803	467593	113990
804	468423	113468
805	469235	112942
806	470240	112461
807	471401	112016
808	472488	111551
809	473233	111005
810	474060	110477
811	474777	109923
812	475514	109374
813	476195	108811
814	477021	108281
815	477661	107708
816	478578	107196
817	479356	106653
818	479932	106065
819	480720	105523
820	481280	104932
821	482135	104403
822	482713	103815
823	483465	103264
824	484429	102757
825	485092	102186
826	486017	101669
827	486682	101098
828	487406	100538
829	487956	99942
830	488985	99444
831	489869	98916
832	491538	98543
833	492358	97999
834	493404	97499
835	494213	96951
836	495058	96409
837	495943	95874
838	496657	95306
839	497385	94740
840	498064	94164
841	498761	93591
842	499380	93004
843	500059	92428
844	500569	91820
845	501227	91240
846	501930	90667
847	502717	90109
848	503400	89532
849	504050	88950
850	504787	88382
851	505240	87764
852	505753	87158
853	506446	86582
854	507167	86010
855	507833	85429
856	508568	84860
857	508967	84234
858	509616	83650
859	510301	83072
860	510840	82470
861	511398	81871
862	511840	81253
863	512395	80654
864	512787	80030
865	513326	79429
866	513786	78816
867	514247	78203
868	514778	77601
869	515279	76995
870	515852	76400
871	516354	75795
872	517016	75213
873	517585	74617
874	518216	74030
875	518774	73433
876	519401	72846
877	519926	72244
878	520396	71635
879	521067	71054
880	521632	70458
881	522398	69890
882	522895	69285
883	523470	68690
884	524017	68092
885	524600	67499
886	525157	66902
887	525627	66295
888	526043	65681
889	526532	65077
890	527033	64474
891	527542	63872
892	527912	63254
893	528458	62658
894	528940	62054
895	529593	61470
896	530113	60871
897	530520	60259
898	531204	59679
899	531705	59078
900	532358	58494
901	532841	57891
902	533445	57302
903	533899	56697
904	534407	56097
905	534988	55506
906	535672	54925
907	536280	54336
908	536753	53734
909	537360	53145
910	537952	52555
911	538577	51967
912	539002	51361
913	539446	50757
914	540112	50174
915	540666	49580
916	541312	48995
917	541810	48396
918	542355	47802
919	542804	47200
920	543408	46611
921	543933	46016
922	544507	45424
923	545043	44830
924	545542	44233
925	546182	43647
926	546677	43050
927	547268	42460
928	547829	41868
929	548343	41273
930	548831	40676
931	549331	40079
932	549826	39483
933	550307	38886
934	550788	38290
935	551260	37693
936	551693	37093
937	552145	36495
938	552597	35898
939	553091	35303
940	553558	34707
941	554037	34112
942	554512	33517
943	555063	32927
944	555387	32324
945	555817	31727
946	556298	31133
947	556833	30543
948	557315	29950
949	557822	29359
950	558304	28766
951	558873	28178
952	559496	27593
953	559991	27001
954	560634	26417
955	561142	25826
956	561745	25240
957	562234	24649
958	562756	24059
959	563274	23469
960	563744	22878
961	564333	22291
962	564880	21703
963	565561	21120
964	566031	20529
965	566699	19945
966	567221	19357
967	567773	18769
968	568313	18181
969	568689	17588
970	569301	17002
971	569820	16414
972	570466	15830
973	570925	15240
974	571515	14654
975	572087	14067
976	572508	13477
977	573164	12893
978	573706	12306
979	574276	11719
980	574796	11132
981	575458	10548
982	575868	9959
983	576369	9371
984	576993	8786
985	577478	8199
986	578004	7613
987	578512	7026
988	579013	6439
989	579505	5853
990	580000	5267
991	580662	4682
992	581063	4096
993	581671	3511
994	582179	2925
995	582641	2339
996	583226	1754
997	583729	1169
998	584201	584
999	584732	0
